User,First_Day,Last_Day,Total_Inc,Total_Locks,Days_of_Cycle,,,,
crich65,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,5,1,0,,,,
croger31,2018-06-12T00:00:00.000-05:00,2018-06-12T00:00:00.000-05:00,6,6,0,,,,
cschmid3,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,8,264,0,,,,
csmit170,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,5,3,0,,,,
csmit170,2018-06-26T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,25,6,1,,,,
csowatz,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,8,10,0,,,,
cspain,2018-06-18T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,120,21,2,,,,
csteve14,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,5,3,0,,,,
csudduth,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,9,13,0,,,,
ctimoney,2018-06-18T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,30,12,1,,,,
ctupa,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,6,1,0,,,,
ctupa,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,6,1,0,,,,
cvale1,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,6,10,0,,,,
cvarghe,2018-06-25T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,27,0,2,,,,
cvarghe,2018-06-29T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,6,0,0,,,,
cwill320,2018-06-12T00:00:00.000-05:00,2018-06-12T00:00:00.000-05:00,48,45,0,,,,
cwill320,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,24,45,0,,,,
cwilso37,2018-06-13T00:00:00.000-05:00,2018-06-15T00:00:00.000-05:00,36,15,2,,,,
cwilso37,2018-06-18T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,42,15,2,,,,
cwilso37,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,22,5,0,,,,
